name,cn,attach
Cine Polar,http://iptv.ndasat.com:88/live///1415.ts,French
CineFamiz,http://iptv.ndasat.com:88/live///468.ts,French
Comedie,http://iptv.ndasat.com:88/live///290.ts,French
CStar,http://iptv.ndasat.com:88/live///302.ts,French
Doc: Animaux,http://iptv.ndasat.com:88/live///284.ts,French
Doc: Be Curious,http://iptv.atlasiptv.net:88/live///5058.ts,French
Doc: Chasse Et Peche,http://iptv.ndasat.com:88/live///1412.ts,French
Doc: Crime District,http://iptv.ndasat.com:88/live///3671.ts,French
Doc: Discovery,http://iptv.ndasat.com:88/live///299.ts,French
Doc: Discovery ID,http://iptv.ndasat.com:88/live///3381.ts,French
Doc: Discovery SCI,http://iptv.ndasat.com:88/live///465.ts,French
Doc: Histoire,http://iptv.ndasat.com:88/live///1534.ts,French
Doc: My Cuisine,http://iptv.atlasiptv.net:88/live///5057.ts,French
Doc: Nat Geo HD,http://iptv.ndasat.com:88/live///486.ts,French
Doc: Nat Geo Wild HD,http://iptv.ndasat.com:88/live///485.ts,French
Doc: Planete+ A&E HD,http://iptv.ndasat.com:88/live///469.ts,French
Doc: Planete+ CI,http://iptv.ndasat.com:88/live///487.ts,French
Doc: Planete+ HD,http://iptv.ndasat.com:88/live///288.ts,French
Doc: RMC,http://iptv.ndasat.com:88/live///305.ts,French
Doc: Science et Vie TV HD,http://iptv.ndasat.com:88/live///282.ts,French
Doc: Seasons HD,http://iptv.ndasat.com:88/live///1408.ts,French
Doc: Toute l Histoire HD,http://iptv.ndasat.com:88/live///470.ts,French
Doc: Ushuaia TV HD,http://iptv.ndasat.com:88/live///483.ts,French
Doc: Voyage HD,http://iptv.ndasat.com:88/live///484.ts,French
E!,http://iptv.ndasat.com:88/live///1535.ts,French
Elle Girl,http://iptv.ndasat.com:88/live///2164.ts,French
Enf-Boing,http://iptv.ndasat.com:88/live///1484.ts,French
Enf-Boomerang,http://iptv.ndasat.com:88/live///297.ts,French
Enf-CanalJ,http://iptv.ndasat.com:88/live///492.ts,French
Enf-Cartoon Network HD,http://iptv.ndasat.com:88/live///488.ts,French
Enf-Disney ,http://iptv.ndasat.com:88/live///300.ts,French
Enf-Disney Cinemagic,http://iptv.ndasat.com:88/live///298.ts,French
Enf-Disney Junior,http://iptv.ndasat.com:88/live///1523.ts,French
Enf-Disney XD,http://iptv.ndasat.com:88/live///2165.ts,French
